"Date","Result","Against","Stadium","Competition","Season"
"23.11.2013","3 - 3","Everton","Goodison Park","Premier League","2013"
"01.12.2013","1 - 3","Hull City","Kingston Communications Stadium","Premier League","2013"
"04.12.2013","5 - 1","Norwich City","Anfield","Premier League","2013"
"07.12.2013","4 - 1","West Ham United","Anfield","Premier League","2013"
"15.12.2013","5 - 0","Tottenham Hotspur","White Hart Lane","Premier League","2013"
"21.12.2013","3 - 1","Cardiff City","Anfield","Premier League","2013"
"26.12.2013","1 - 2","Manchester City","Etihad Sradium","Premier League","2013"
"29.12.2013","1 - 2","Chelsea","Stamford Bridge","Premier League","2013"
"01.01.2014","2 - 0","Hull City","Anfield","Premier League","2013"
"05.01.2014","2 - 0","Oldham Athletic","Anfield","FA Cup 3rd round","2013"
"12.01.2014","5 - 3","Stoke City","Britannia Stadium","Premier League","2013"
"18.01.2014","2 - 2","Aston Villa","Anfield","Premier League","2013"
"25.01.2014","2 - 0","Bournemouth","Dean Court","FA Cup 4th round","2013"
"28.01.2014","4 - 0","Everton","Anfield","Premier League","2013"
"02.02.2014","1 - 1","West Bromwich Albion","The Hawthorns","Premier League","2013"
"08.02.2014","5 - 1","Arsenal","Anfield","Premier League","2013"
"12.02.2014","3 - 2","Fulham","Craven Cottage","Premier League","2013"
"16.02.2014","1 - 2","Arsenal","Emirates Stadium","FA Cup 5th round","2013"
"23.02.2014","4 - 3","Swansea City","Anfield","Premier League","2013"
"01.03.2014","3 - 0","Southampton","St Mary's","Premier League","2013"
"16.03.2014","3 - 0","Manchester United","Old Trafford","Premier League","2013"
"22.03.2014","6 - 3","Cardiff City","Cardiff City Stadium","Premier League","2013"
"26.03.2014","2 - 1","Sunderland","Anfield","Premier League","2013"
"30.03.2014","4 - 0","Tottenham Hotspur","Anfield","Premier League","2013"
"06.04.2014","2 - 1","West Ham United","Upton Park","Premier League","2013"
"13.04.2014","3 - 2","Manchester City","Anfield","Premier League","2013"
"20.04.2014","3 - 2","Norwich City","Carrow Road","Premier League","2013"
"27.04.2014","0 - 2","Chelsea","Anfield","Premier League","2013"
"05.05.2014","3 - 3","Crystal Palace","Selhurst Park","Premier League","2013"
"11.05.2014","2 - 1","Newcastle United","Anfield","Premier League","2013"
